Keyword,Review,Tone,Attribute1
Processor,  The 1 GHz Qualcomm Krait Dual Core ,3,1 GHZ
Processor,  The 1 GHz Qualcomm Krait Dual Core ,3,Qualcomm
buttons,  Next would be the lock and the volume ,0,
fast,  Easy to use and pretty ,3,pretty
Processor, The 1 GHz Qualcomm Krait Dual Core ,3,1 GHZ
Processor, The 1 GHz Qualcomm Krait Dual Core ,3,Qualcomm
performance,  Because the RAM on this one is 512MB and this is why the ,0,
image,  The 5 MP cameras is average and you cannot get good ,1,
image,  The 5 MP cameras is average and you cannot get good ,1,5 MP
games,  The internal memory is just 8 GB so you cannot install many ,1,
memory ,  The internal ,0,
operating ,  The design of phone is awesome and the ultimate thing is qualcomm snapdragon processor with windows 8 ,3,Windows
snapdragon,  The design of phone is awesome and the ultimate thing is qualcomm ,3,Qualcomm
windows,  The design of phone is awesome and the ultimate thing is qualcomm snapdragon processor with ,3,
online,  I am considering Snapdeal as the king of ,0,
Android,  All my friends want a similar phone now and some have already switched from ,0,
Android, Changed my phone from ,0,
image,  I like the screen on this phone which is excellent 5 MP camera is a superb choice to add to the fun of shooting ,3,
Android,  This is a good phone in direct competition with ,0,
Price, Good Quality item at good ,3,
connectivity,  The display features higher memory capacity and uninterrupted internet ,3,
features,  The display ,0,
internet,  The display features higher memory capacity and uninterrupted ,3,
memory ,  The display features higher ,3,
features,  The most decent ,3,
service,  However camera button is not functioning for me and looks like I will have to go to the ,0,
Bluetooth,#You can share Photos videos Music via ,3,share
features, After reading so many reviews of Windows Phone on Flipkart where people complain regarding missing ,0,
video,#You can share Photos ,2,
windows, After reading so many reviews of Windows Phone on Flipkart where people complain regarding missing features of this OS in lack of knowledge and no place to answer them I thought to Right this review to kill the wrong myth spreading regarding ,2,
video,  Music,0,
Battery,#To save ,0,
windows,#Gmail is working perfectly fine on ,0,
service,  Moreover Outlook ,0,
Apps,#,0,
windows,  Buy more ,0,
instagram,#No words on ,3,
instagram,  its not far when we will see ,0,
windows,  its not far when we will see instagram for ,0,
instagram,  BTW an app called instagraph is coming which allow to share pics on ,0,
video,#You can of course Fast forwardReverse Songs,0,
buttons,  Not by seek bar but by long pressing Nextprevious ,0,
video,#To download youtube ,0,
music,  Moreover if you cant live without downloading pirated appsmovies,0,
Game,  Moreover you can download almost all paid apps,0,
Android, Lumia 520 is so much better then the low end ,0,
cheap,  First of all it is from a reputed brand unlike the other ,0,
Android,Windows Phone now has all the apps you can think of so even that novelty of ,0,
cheap,  Yes they are ,0,
touch,  Yes they are cheaper then Lumia 520 but then you pay by sacrificing for a low battery life poor ,1,
performance,It is very stylish and is good in ,3,
stylish,It is very ,3,
clarity,Sound ,3,
connectivity,WIFI ,0,
Android, Cmon it seems that only 3 smartphone options are available in the world - Apple  Nokia and ,0,
interface,  to my surprise 80% of user ,0,
interface,Felt Cheated as both the devices got 80% of similar user ,0,
Android,Stopped using ,0,
windows,Stopped using Android once got my hands on ,0,
fast,  it has got only 512 MB of RAM but while using this device touch response seems to be ,3,
fast,  it has got only 512 MB of RAM but while using this device touch response seems to be ,3,Response
Ram,  it has got only 512 MB of RAM but while using this device touch response seems to be faster than many other 1 GB ,3,512 MB
touch,  it has got only 512 MB of RAM but while using this device ,0,
windows,Apps are limited yet useful no unwanted apps in ,2,
touch,Device is so well designed that it fits properly in users hand and the entire screen can be ,2,
Game,still wish if Nokia can sell their devices with pre installed Snake ,0,
Android, In this range i have used ,0,
Android,  I used ,0,
body,Every,0,
performance,Everybody says that RAM is very low but when i started using this mobile i never felt the the ,2,
features,I updated to AMBER and FM Data Sense Call Block and other ,2,
performance,  wifi works very well and overall good ,3,
affordable,  Its the most ,3,
touch,But the ,0,
light,But one can expect very good photo output even  in low,3,Low
sensor,I guess the ,0,
internet,       Its actually a GPS (which works without ,3,GPS
features,       It supports all ,3,Supports
office,       It supports all features of MS ,3,MS
games,----Xbox ,0,
online,       Games played ,0,
features,----- Inbuilt facebook chat and access to other facebook ,3,Facebook
performance,     Unbelievable ,3,
software,  with ,0,
hangs,  Silky smooth UI which never ,3,UI
smooth ,  Silky ,3,
UI,  Silky smooth ,3,Smooth
responsive,  Highly ,3,
touch,  Highly responsive ,3,Responsive
lag,  Games never hang or ,3,never
office,  Full MS ,3,
gaming,  No High end ,1,
features,  I really cant think of any other phone which can give you these ,3,
performance,  Android has lots of apps but most of them are buggy they either drain out your battery or consume all the resources which results in poor ,3,Battery
windows,  Every app in ,0,
windows,  But I tried around 30 apps installed in ,0,
affordable,  It is available at reasonable cost and even on snapdeal you can get at ,2,snapdeal
snapdeal,  It is available at reasonable cost and even on ,0,
lag,no ,3,no
touch,no lag at all (even with the 512 mb RAM) super efficient ,3,
games,and about apps my worst fears put to rest as i have all the apps already installed on my ph wo havin to pay out a single penny- all the popular apps + ,2,
windows,if u are skeptical about this purchase only because its a ,0,
internet,Easy to use light in weightbackup of one day when using ,0,
windows,This is my first ,0,
headphone,  On the bottom is a micro USB port and up top is the ,0,
buttons,  You can pop off the entire back (,0,
buttons,  Gone is the carrier branding on the bottom of T-Mobiles Lumia 521 and Windows Phones ever-present trio of dedicated capacitive ,0,
windows, looks incredible and the ,2,
lag,  Best part is that it never ,3,never
games,  So if u keep trying apps and ,0,
memory , Nokia lumia 520 is best in 9k nokia fixes all its bugs 520 hav ,0,
body,  When I first saw the mobile in some,0,
features,  I bought the mobile immediately and started impress others by carrying it in hands or letting them watch while I utilize its superior ,3,
stylish,  The new ,0,
Price, 1) ,3,
Screen, 2) ,0,
Camera, 3) ,0,
Battery, 5) ,0,
service,  Due to unavailability of Airtel 3G ,0,
Looks, 6) ,0,
storage,  My last Galaxy ACE provided only few MBs and I was facing insufficient ,0,
fast,  Also mounts SD cards very ,3,very
Android,  Gmail and found excellent usability compared to available ,0,
Bluetooth, 11) ,0,
Bluetooth,  I have transferred all my existing contracts from my old Galaxy phone through ,0,
Bluetooth, 1) Transfer Contacts which are stored in your old phone: Use ,0,
windows,  Manage MP3Music files: Manage the MP3 using external desktop app like MediaMonkey and copy to phone using ,0,
Bluetooth,when come to os Windows phone 8 have some problems like(file managernotification pannelnative downloadinguploading support not avilable for the browseronly recording video can send over ,3,send
hardware,Lumia 520 got all the nokia love specially in ,3,
video,when come to os Windows phone 8 have some problems like(file managernotification pannelnative downloadinguploading support not avilable for the browseronly recording ,0,
touch, Accessibility is good and ,0,
memory ,  Overall good one and finally nokia has came out of the shell of shorter ,2,
smooth ,  The touch is ,3,
internal,  With 8GB ,2,
memory ,  With 8GB internal ,2,
memory , 7gb for usage Average users wont require a ,0,
delivered, the product is good and it was ,2,
budget, the camera is very good and also the phone is really a smartphone as it is a ,3,
operating ,Windows 8 is easy to use ,3,
windows, One of the best phone among all other ,3,
windows, lumia 520(,0,
performance, have better ,0,
snapdeal,  looking for more deals with ,0,
Camera,  5MP ,0,
performance,  Android has lots and lots of apps but most of them are buggy and useless they either drain out your battery or consume all the resources which results in poor ,1,
