Keyword,Review,Tone,Attribute1
Design,  is good but has sharp edges which create problem while speaking,3,
Camera,  is useless,1,
build,  quality to grab 4 or 5 *rating,3,Quality
features,  loaded for the price paid and extemely easy to handle &amp,3,
durable,  easy on pocket,3,
browsing,  internet though one sim the other sim automatically gets switched off,1,internet
internet,  though one sim the other sim automatically gets switched off,1,
features,  are awesome than ever,3,
interface,  plus brilliant designing are its prime factors,3,
image,  quality is also fine with the 3,3,Quality
connectivity,  that enables you a speedy tranfer of multimedia and phonebook contact lists between devices,3,
fast,  bluetooth connectivity that enables you a speedy tranfer of multimedia and phonebook contact lists between devices,3,Connectivity
video,  quality is also fine,3,Quality
Looks,  great,3,
budget,  phone and very user friendly,3,
Light ,weight  and Long Battery life,3,
Camera,  quality is worth for the price,3,Quality
Resolution,  is low,1,Low
sound,  is low and camera ,1,Low
UI,  is very easy to operate,3,Easy
hangs,  a lot,1,
Battery,  backup is poor speaker not too loud installed apps are not of great use quite heavy (personal opinion),1,poor
fast,  and no lags headphone provided is great very nice display clear and crisp,3,lags
headphone,  provided is great very nice display clear and crisp,3,
heavy,  (personal opinion),1,
budget,  phone and nice color,3,
Delivery,  was quick and prompt,3,Quick
responsive,  touch screen,3,
store,  and all the basic apps are available,3,available
responsive,  touch keyboard actually better than some entry level droids no lags bright visibility good connectivity options its own app store and all the basic apps are available,3,
responsive,  touch keyboard actually better than some entry level droids no lags bright visibility good connectivity options its own app store and all the basic apps are available,3,Keyboard
responsive,  touch keyboard actually better than some entry level droids no lags bright visibility good connectivity options its own app store and all the basic apps are available,3,lags
touch,  keyboard actually better than some entry level droids no lags bright visibility good connectivity options its own app store and all the basic apps are available,3,Keyboard
touch,  keyboard actually better than some entry level droids no lags bright visibility good connectivity options its own app store and all the basic apps are available,3,lags
service,  was good,3,
applications,  are easy,3,Easy
Battery,  life is excellent,3,excellent
features,  are upgradable too to the latest version,3,
budget,  phone to be user friendly especially for old aged people,3,
build,  to last longer,3,Last
fast,  enough better than some of the Android smart phones,3,
features,  and apps almost perfect for a starter or basic users,3,
clarity,  is not great,1,
Flash,  is missing,1,
Delivery,  and product is genuine,3,
features,  at great price,3,Price
Camera,  quality new gesture and swipe accessibility Fast lane and so on,3,Quality
touch,  sensor at this budget,3,sensor
delivered,  with in a week but was surpsied to get it in three days,3,
touch,  is  easily manageable in navigating and it is easy to feed notes by seeing  various predictions,3,
snapdeal,  pls make ur packaging good,1,Packaging
smooth , interaction,3,Interaction
snapdeal,  offer it is impossible to get that product anywhere in the world,3,
lag,  free internet and add on feature Onedrive,3,
smooth , lag free internet and add on feature Onedrive,3,
delivered,  with two days delay the person form whom i ordered it left before he could get the phone that made ordering the phone a waste,3,
service,  was very pathetic it  was delivered with two days delay the person form whom i ordered it left before he could get the phone that made ordering the phone a waste,1,
snapdeal,  is lowest than other sites,3,
memory , card and touch is also nice,3,
touch,  is also nice,3,
features,  is uniquely coolspecially easy access of everything at this price rangethough the cam quality is not up to expectations but its definitely better than any other 3 mp mobiles at this range,3,
responsive,  touch and performanceevery features is uniquely coolspecially easy access of everything at this price rangethough the cam quality is not up to expectations but its definitely better than any other 3 mp mobiles at this range,3,
features,  at low price range,3,Price
Android,  slightly complicated,1,Complicated
hangs,  very frequently,1,
hangs,  very often,1,
lags, s due to frequent memory full errorsof course 128 MB RAM wont be enough for multi tasking,1,
memory , full errorsof course 128 MB RAM wont be enough for multi tasking,1,
features,  as specified,3,
Camera,  is excellent gives excellent photos,3,Photos
lags, s vry much,1,
budget,  phone - purchased this primarily for Mom - and she is OK with it,3,
applications,  are waste,1,
Camera,  is wasteNO DATA CABLE,1,
Design,  are all awesome,3,
affordable,  and with all features,3,
Design,  and perfect choice of colours for Females,3,
Sleek,  Design and perfect choice of colours for Females,3,
games,  which I downloaded from store were not working,1,
Sleek,  UI,3,UI
Screen,  size is a tad small for my taste,1,Size
cheap,  plastic build looks,1,
cheap,  plastic build looks,1,
cheap,  plastic build looks,1,
sound,   with no options to change the tone and no one by one message deleting option,1,
Apps,  dnt support very much ,1,Support
touch,  screen is very poor,1,
responsive,  touch screen,3,
responsive,  touch screen,3,
Display,  is clear and crisp,3,Clear
Display,  is clear and crisp,3,Crisp
touch,  is slow,1,Slow
Battery,  back up is good,3,good
features,  I can say are as good as a basic dual SIM phone,3,
touch,  screen and working fine with the basic use,3,
cheap, est price i ve checked with the local market,3,Price
touch,  is better then other asha mobile,3,
features,  is uniquely coolspecially easy access of everything at this price rangethough the cam quality is not upto expectations but its definitely better than any other 3 mp mobiles at this range,3,Cool
responsive,  touch and performanceevery features is uniquely coolspecially easy access of everything at this price rangethough the cam quality is not upto expectations but its definitely better than any other 3 mp mobiles at this range,3,
smooth , and easy to swipe but Apps Name fonts fade out in the end and too light to read,3,
features,  are also good then older version of nokia phones,3,
Looks,  are good,3,
heavy,  to keep in your pocket,1,
internet,  connectivity for installing many of the softwares games included,3,Connectivity
memory , being less,1,
applications,  which is exhaustive,3,
responsive,  touch,3,
memory , it will be of 64gb expandable ,3,Expandable
snapdragon,  processor which works best with Nokia,3,Processor
Battery,  Backup is not that impressive,1,not
Android,  based phones and found them to be bulky,1,Bulky
interface,  is easy to handle and the phone is sleek and small,3,Easy
expandable,  space is  the cherry on the top,3,Space
Processor,  is a beauty to process and 64 GB of expandable space is  the cherry on the top,3,
internal,memory  is just 8 GB so you cannot install many games on it,1,8 GB
internal,memory  is just 8 GB so you cannot install many games on it,1,memory
internal,memory  is just 8 GB so you cannot install many games on it,1,memory
memory , is just 8 GB so you cannot install many games on it,1,8 GB
connectivity,  with highly influential wi-fi connection keeps you linked globally all the time,3,Wi-Fi
internet,  connectivity with highly influential wi-fi connection keeps you linked globally all the time,3,Connectivity
features,  which blew my mind off are the Assisted GPS GLONASS and Nokia Maps which offer greater help when one keeps losing his or her way and the mobile can keep you on track intelligently,3,
service,  is far more better than Gmail,3,
touch,  screen poor OS with no updates etc,1,
stylish,  and is good in performance,3,
clarity,  is good,3,
Bluetooth,  gets disconnected automatically if it is not used for few secs,1,
fast, er than many other 1 GB Ram Smartphones (Majorly Because of Super Fast Snapdragon processor,3,
touch,  response seems to be faster than many other 1 GB Ram Smartphones (Majorly Because of Super Fast Snapdragon processor,3,Response
performance,  was very low,1,
Camera,  is one of the best feature,3,
features,  are also great,3,
affordable,  smartphone with no compromise of quality,3,
sensor,  for camera is very good ,3,
Game, s played online with tremendous graphics support,3,Graphics
Game, s played online with tremendous graphics support,3,Support
performance,  anytime better than any other phone present in any market,3,
software,  support like cinegraph smart cam etc,3,Support
Camera,  does a good job a lot of innovative lenses to choose from,3,lenses
smooth , UI which never hangs,3,
UI,  which never hangs,3,
responsive,  touch works even with gloves on,3,
touch,  works even with gloves on,3,
Game, s never hang or lag,3,
music,  lets you download all latest and old songs direct to the phone,3,
Android,  has lots of apps but most of them are buggy they either drain out your battery or consume all the resources which results in poor performance,1,Apps
windows,  store is verified for its quality and you can be sure it wont slow down your phone,3,Quality
affordable,  rate if you strike the deal on time,3,
snapdeal,  you can get at affordable rate if you strike the deal on time,3,
touch,  screen nice unique sharp looks makes it even more better,3,
windows,  8 os is incredible,3,
stylish,  mobile keeps me under people attention more every time,3,
Looks,  and feels different than the other phones mainly because of the Windows OS,3,
touch,  sensitivity of screen outlasts sony and apple too,3,Sensitivity
smooth , tiles amazing display you cant have enough of the camera with so many options,3,Display
touch,  is smooth tiles amazing display you cant have enough of the camera with so many options,3,Smooth
delivered,  to me in 3 days only,3,
touch,  screen  is amazingand the colours of the wall can be changed,3,
budget,  phone for people who are smart,3,
touch,  is very impressive,3,
Camera,  quality is also good awesome,3,Quality
windows,  handsets in a low price,3,Price
windows,  phone) is an amazing phone,3,
Camera,  has a superfine quality,3,Quality
Android,  has lots and lots of apps but most of them are buggy and useless they either drain out your battery or consume all the resources which results in poor performance,1,Apps
smooth , and elegant,3,
Screen,  with Scratch Resistent Glass &amp,3,Scratch Resistant
cheap,  - Seriously,3,
Flash,  light is not given,1,
memory , I am using like a pendrive because Nokia lumia doesnot allow virus in to phone it gives full security ,3,
video, s it plays only mp4,1,
videos,  it plays only mp4,1,
operating ,system  is also a hit,3,hit
operating ,system  is also a hit,3,system
operating ,system  is also a hit,3,system
Camera,  and Equalizer would have made it just heat of the market,3,
smooth , in operations,3,Operations
windows,  experience with a great touch,3,
games,  as well as full HD videos (1080p) runs smoothly,3,Smooth
video, s (1080p) runs smoothly,3,Smooth
videos,  (1080p) runs smoothly,3,Smooth
features,  are simply superb,3,
features,  can allow you to conveniently access the apps such as Google Facebook and Twitter also assisted by GPS GLONASS and Nokia Maps which are highly useful,3,
smooth , and it never lagged just a little hickups here and there but overall this is a very decent choice in this price range,3,
image,  processing and the low light imaging is awesome even better than expensive smartphones,3,Processing
image,  processing and the low light imaging is awesome even better than expensive smartphones,3,Low Light
light,  imaging is awesome even better than expensive smartphones,3,
durable,  and the battery backup is also pretty good,3,
smooth , and i didnt face any lag or any sort of problems yet,3,
light,  imaging is still good in this device,3,
Battery,  backup is not very good,1,not
software, apps are getting updated periodically,3,Apps
Android,  feels like Linux of yester-years which is too geeky and WP feels like Windows Xp or 7 or 8 or in simple terms fun in doing things enjoyable,1,
Android,  is full of bad ad-based apps which not only irritate but u would simply uninstall after single use,1,Apps
touch, screen without sluggish performance,3,
affordable,  and reasonable,3,
features,  of this phone that I like is its touch screen and gps and headphone provided with it,3,
features,  of this phone that I like is its touch screen and gps and headphone provided with it,3,Screen
features,  of this phone that I like is its touch screen and gps and headphone provided with it,3,GPS
Camera,  is very good,3,
day,light  it takes best pictures,3,Pictures
day,light  it takes best pictures,3,light
day,light  it takes best pictures,3,light
video,  recording which results in very high quality ,3,Recording
video,  recording which results in very high quality ,3,Quality
video ,recording  which results in very high quality video,3,Quality
video ,recording  which results in very high quality video,3,recording
video ,recording  which results in very high quality video,3,recording
Battery,  backup is excellent,3,excellent
games,  without lag,3,
memory , fulfills all the needs,3,
software,  is perfectly designed gives very good experience,3,
memory , is 8gb which can be expanded to 32gb,3,Expanded
lag,  like the android devices,1,
windows,  device is that it doesnt lag like the android devices,3,
touch,  is very good and it looks pretty while holding and talking over the phone with a nokia logo on the back,3,
Camera,  is too bad than expected,1,
body,  and slim design,3,Design
fast,  in any action but sometimes becomes slow and applications dont open and close abruptly,3,
Camera,  quality is bad in the night,1,Quality
Camera,  quality is bad in the night,1,Night
operating ,system  runs smoothly and the phone wont hang on playing heavy games,3,Smooth
operating ,system  runs smoothly and the phone wont hang on playing heavy games,3,system
operating ,system  runs smoothly and the phone wont hang on playing heavy games,3,system
Display,  is also very good,3,
Android,  wins because the restrictions are so much less and offer so much more than iOS &amp,3,
Screen,  Size is too small for my Liking Minimum 4,1,Size
Size,  is too small for my Liking Minimum 4,1,Small
Ram,  is a little less,1,Less
fast,  processor,3,Processor
hangs,  everytime when i get a call on waiting,1,
Looks,  good,3,
stylish,  look,3,
heats,  up very quickly and battery discharges bit fast,1,
budget,  and longevity with relability for me in mobile,3,
sound,  quality is awesome ,3,Quality
fast,  long lasting battery and easy to use,3,
Price,  is best in snapdeal ,3,Snapdeal
music,  quality best,3,Quality
cheap,  phone with large expansive screen,3,
Camera,  is not having a flash and yes it doesnt come with Front camera too,1,Flash
Camera,  is not having a flash and yes it doesnt come with Front camera too,1,
Battery,  is not as per the expectation or upto the specification mentioned on website,1,not
video,  player which can support all basic format should be provided free,1,
features,  like slam share and flash in the camera which are available even in lower models are a turn off,1,
windows,  OS is a good use however features like slam share and flash in the camera which are available even in lower models are a turn off,1,
windows,  platform is perfect to use,3,
stylish,  and has a perfect shape,3,
fast,  and can be used for all purpose,3,
hangs,  on long usage,1,
fast,  processing speed,3,Processing
smooth , touch with ips display fast processing speed,3,
touch,  with ips display fast processing speed,3,
service,  is also good,3,
features,  are missing while comparing to android mobiles,1,
cheap,  and easy to operate,3,
lag,  in processing or working,1,
stylish,  windows phone strongly,3,
video,  clarity,3,Clarity
Bluetooth,  to lumia 520 is a big issue,1,
applications,  the screen will turn to LIST mode and no option to bring it to normal,1,
affordable,  price compared to other mobiles,3,
features,  of a smart phone in an affordable price compared to other mobiles,3,
affordable,  phone in low price,3,
body,  is an additional bonous not a cheap plastic like feel in Samsung Phone,3,
cheap,  plastic like feel in Samsung Phone,1,
touch, ing experienceit is good for gaming,3,Gaming
clarity,  is not fine when zooming,1,Zooming
affordable,  as well,3,
lags, s in games or any other apps,1,
games,  built in but none works,1,
delivered,  in just 2 days,3,
performance,  with 1 Gig processorproximate touch screen make it a cute angel,3,
smooth , performance with 1 Gig processorproximate touch screen make it a cute angel,3,
touch,  screen make it a cute angel,3,
Battery,  quality is decent,2,decent
Android,  phones in this price range is having very poor performace after 1 or 2 months of buying due to memory constraints,1,
memory , constraints,1,
music,  is amazing I can download all the ,3,
Camera,  is good Nokia Smartcam is excellent,3,Smartcam
Bluetooth,  transfers are not easily accessible,1,Transfer
touch,  capacity is good,3,Capacity
internet,  (wifi) battery drains more quickly,1,
features,  like phone profiles like isolating sound vibrate silence phone-calls only and different alertsringtones for different messagesemails are not present which makes it a little less smarter than its counterparts,1,
sound,  vibrate silence phone-calls only and different alertsringtones for different messagesemails are not present which makes it a little less smarter than its counterparts,1,
fast,  and has got a good camera (Not compared to my Canon 7D,3,
interface,  looks better,3,Looks
budget,  phone and best Windows phone in this price,3,
touch,  is very responsive,3,Responsive
Camera,  resolution is better and the phone works without any lags,3,Resolution
Camera,  resolution is better and the phone works without any lags,3,lags
smooth , 4-inch WVGA capacitive touchscreen with a resolution of 800 x 480 pixels 235 ppi and 16 M colors as well,3,
smooth , 4-inch WVGA capacitive touchscreen with a resolution of 800 x 480 pixels 235 ppi and 16 M colors as well,3,Screen
smooth , 4-inch WVGA capacitive touchscreen with a resolution of 800 x 480 pixels 235 ppi and 16 M colors as well,3,Capacitive
touch, screen with a resolution of 800 x 480 pixels 235 ppi and 16 M colors as well,3,
touch, screen is sensitive enough to work even when you are wearing gloves or have long fingernails,3,
touch, screen is sensitive enough to work even when you are wearing gloves or have long fingernails,3,Sensitive
picture, s on the go with the Nokia Lumia 520 which prides itself on the 5 megapixel camera that has both 4x digital zoom and auto focus for a much better photo capturing experience,3,
Design,  Smooth and rounded the Lumia 520 is built to feel just right on your palm without compromising on functionality,3,Smooth
memory , of 8 GB which can be extended up to 64 GB with a microSD card,3,Extended
connectivity,  options like GPRS EDGE 3G and Wi-Fi which can also be used as a hotspot for tethering,3,GPRS
fast,  speed main advantage is of 3G speed of internet,3,Speed
picture,  and sound quality easy operating language as well as very fast speed main advantage is of 3G speed of internet,3,Quality
Camera,  does a good job a lot of innovative and improved lenses to choose from,3,Lenses
hangs,  even continous long use,1,
smooth , UI which never hangs even continous long use,3,
UI,  which never hangs even continous long use,3,
responsive,  touch works even with gloves on,3,
touch,  works even with gloves on,3,
Game, s never hang or lag while playing continously,3,
lag,  while playing continously,1,
music,  lets you download all latest and old songs direct to the phone and also online play,3,
touch,  is gud and easy to use interface,3,
fast,  OS i really appreciate it,3,OS
windows,  store has less apps,1,Apps
charging,  battery will last 2-3 days on lite usage,3,
charging,  battery will last 2-3 days on lite usage,3,lasts
charging,  battery will last 2-3 days on lite usage,3,
games,  quit automatically (this happens rarely),1,
memory , problems due to which games quit automatically (this happens rarely),1,
Looks,  quite stunning and far lovlier than I expected,3,
picture, s taken look clear and nice,3,Clear
touch,  screen is awesome,3,
Flash,  is not provided which is big let off,1,
light,  is a big let down however no complain for photos &amp,1,
hanging,  in between usage but it recovers later automatically(with in 5 to 10 min) or if we remove battery and place it again then it works fine,1,
affordable,  range,3,
Camera,  Quality is really too much great ,3,Quality
Display,   Touch  Screen Resolution Windows 8 Interface all are great,3,
Display,   Touch  Screen Resolution Windows 8 Interface all are great,3,
Display,   Touch  Screen Resolution Windows 8 Interface all are great,3,Resolution
Screen,  Resolution Windows 8 Interface all are great,3,Resolution
features,  with this cost category promises to occupy the next generation smart phone in the world,3,
cheap,  price compare to other models with best features,3,
snapdeal,  for the best offer really like ,3,
connectivity,  is very slow battery is also not reaching upto the mark,1,Slow
internet,  connectivity is very slow battery is also not reaching upto the mark,1,Connectivity
features,  are revulutionary changed beside of comparing with 510,3,
video,  playing smoothly,3,Smoothly
games,  like temple runae motor 3d is plying on this device is real fun for you,3,
Battery,  life is very short,1,short
heating,  up which is certainly not a good sign,1,
memory , sd card limitations etc,1,Limitaions
performance,  of this product and it is very smooth to operate does not hang like other phones,3,Smooth
smooth , to operate does not hang like other phones,3,
smooth , and its user friendly too,3,
browsing,  on your laptop or your PCit is fast the best part is the price,3,Fast
internet,  is just like browsing on your laptop or your PCit is fast the best part is the price,3,
smooth , operation,3,Operation
touch,  sensitive great camera more options in camera good os windows 8 i love the performance mobile good processor with 1ghertz dual core and supporting ram with 512mb almost much needed apps are available in windows store but this all will breakone thing the phone will become hoton using gaming internet ,3,Sensitive
music,  is not having a equalizer also ,1,Equalizer
fast,  compare to others,3,
interface,  is very attractive,3,
internal,memory  space is quite enoughnto store some music on it and u can also store some photos on it really it is good storage,3,Space
internal,memory  space is quite enoughnto store some music on it and u can also store some photos on it really it is good storage,3,memory
internal,memory  space is quite enoughnto store some music on it and u can also store some photos on it really it is good storage,3,memory
memory , space is quite enoughnto store some music on it and u can also store some photos on it really it is good storage,3,Space
memory, space  is quite enoughnto store some music on it and u can also store some photos on it really it is good storage,3,quite
memory, space  is quite enoughnto store some music on it and u can also store some photos on it really it is good storage,3, space
memory, space  is quite enoughnto store some music on it and u can also store some photos on it really it is good storage,3, space
interface,  is a breeze fluid and cute,3,
budget,  smartphone,3,
windows,  is not user friendly like android,1,User friendly
Camera,  buttone of the model i got was defective,1,Buttons
Camera,  buttone of the model i got was defective,1,Defective
UI,  is really good,3,
microsoft,  must do something,1,
Display,  Quality is amazing,3,Quality
windows,  doesnt really provide as much options like android,1,Options
cheap,  price than local market price and this phone is awesome,3,Price
snapdeal,  for cheap price than local market price and this phone is awesome,3,
sound,  and display good speed for a great price,3,
interface,  is organised is a lot smarter than Android phones,3,
durable,  and sturdy products,3,
windows,  phone is good as starter,3,
affordable,  smartphone choice you can make,3,
fast,  easy to use stable attractive and lightweight,3,
snapdeal,  is a best site to purchasing any item ,3,
durable,  enough,3,
picture,  perfect shots which is better than any 5MP cam phones available in the market,3,Shots
Android,  It is much more stable than ,3,Stable
hangs,  or Lags can be found in normal usage,1,
light,  imaging is one of the key features of this phone,3,
build,  quality seems little weak,1,Quality
Camera,  is superb,3,
heating,  a lot while you use 3g or playing games,1,
build,  quality throwed my phone around 20 times from pocket and from chest level only the outer case got chipped the rest of the phone pretty good condition,3,Quality
clarity,  super sensitive IPS touch screen,3,
snapdeal,  play the great role to meet my dream thank you,3,
operating ,system  needs a lot of improvements,1,improvements
operating ,system  needs a lot of improvements,1,system
operating ,system  needs a lot of improvements,1,system
windows,  operating system needs a lot of improvements,1,Operating System
smooth , as silk,3,
video, s are even better(720p) HD recording,3,HD
videos,  are even better(720p) HD recording,3,HD
Apps,  like HERE Maps and HERE Drive works very well,3,
Audio,  quality is good,3,Quality
Camera,  features include Cinemagraph panorama and SmartShoot preinstalled in it,3,Panaroma
Camera,  features include Cinemagraph panorama and SmartShoot preinstalled in it,3,Cinemagraph
features,  include Cinemagraph panorama and SmartShoot preinstalled in it,3,Panaroma
features,  include Cinemagraph panorama and SmartShoot preinstalled in it,3,Cinemagraph
expandable,  upto 64GB,3,64 GB
storage,  expandable upto 64GB,3,Expandabale
day,light  will be good,3,good
day,light  will be good,3,light
day,light  will be good,3,light
fast,  and with Win8 update browsing is fun,3,
Touch ,sensitivity  and wifi signal strengths are very good and so is mobile connections,3,sensitivity
Display,  is very crisp and sharp,3,Crisp
Display,  is very crisp and sharp,3,Sharp
UI,  is a lot better than android if use it for long actually,3,
smooth , touch in any Samsung phones,3,
touch,  in this phone is awesome and I am sure that you will never get this type of smooth ,3,
touch,  that you wont see in most expensive phones),3,
Apps,  (Have all the required apps but still require more apps for Kids Education etc,3,
music,  is just fab,3,
sensor, s are very much sencitive,3,
touch,  is highly sensitive,3,Sensitive
features,  of high ranged smartphones,3,
features,  are amazing,3,
interface,   a diff feel than all the other android touch phones which is a welcoming change,3,
touch,  quality light weight inexpensive user friendly interface  a diff feel than all the other android ,3,
touch,  interface is really good,3,Interface
microsoft,  came up with a good UI really innovative and good response when accessing the applications,3,UI
UI,  really innovative and good response when accessing the applications,3,Response
Screen,  Clarity and Sensitivity is awesome,3,Clarity
Screen,  Clarity and Sensitivity is awesome,3,Sensitivity
durable,  and unique experience,3,
touch,  is very smoooth &amp,3,Smooth
sound, s are ver good,3,
lag,  like android mobiles if u play games or browsing for hours,1,
windows,  phone has super clarity,3,Clarity
Camera,  is perfect,3,
budget,  smart phone,3,
windows,  platform more then ever also gr8 work by nokia for providing awesome here maps,3,
features,  make up for it,3,
browsing,  is also good (personally i didnt expect that frm internet explorer ,3,
fast,  and you would still get almost all the famous apps and lots more here),3,
music,  - 1010 you can find many songs that are not even available on the internet to download,3,
browsing,  experience not pleasant at all,1,
Processor,  OS performance good,3,
windows,  os is really fluid,3,OS
lagging, ging problems like in android,1,
connectivity,  n speed is very good cud have come wid a gorilla glass,3,Speed
Apps,  not good enough ,1,
browsing,  is super fast,3,Superfast
music,  app is too good,3,App
video, snokia music app is too good,3,Music App
videos, nokia music app is too good,3,Music App
snapdeal,  is only site have to provide the chipest rate in india ,3,
cheap, er in snapdeal,3,Snapdeal
affordable,  at this price rate,3,Rate
fast,  than the task,3,
Camera,  as there is no flash and the ease of use is so nice and can be easily accessed the Wifi and the Pros are more when compared with Cons the best chosen for a beginner in windows,3,
budget,  phone good camera even without flash good battery life super clarity screen size is  correct fit to my hand,3,
video,  could not be played when its on external memory,1,
heating,  problem,1,
touch,  the market at top,3,
Looks,  good and responsive unlike android phones,3,Responsive
video,  recording r also very good,3,Recording
video ,recording  r also very good,3,good
video ,recording  r also very good,3,recording
video ,recording  r also very good,3,high
video ,recording  r also very good,3,recording
video ,recording  r also very good,3,high
windows,  has few apps like the buyer with limited budget it suits just fine,1,Apps
charging,  is also fast),3,Fast
fast,  and smooth,3,
fast,  and smooth) &amp,3,
build,  quality especially the screen is the best at this range,3,Quality
video,  @ 720p is excellent,3, 720p
hangs,  frequently but I still think it is a good choice because of the price,1,
windows,  8 is nice,3,
windows,  better than android,3,
stylish,  design,3,Design
surfing,  is very good Cam quality is not upto to the mark but its sufficient u cant expect more within this renage,3,
sound,  clarity it has Nokia is back with his low price to race,3,Clarity
build,  quality are highlights,3,Quality
performance,  is good but the biggest disappointment is Voice Clarity of the incoming calls,3,
touch,  screen is fabulous,3,
built ,quality is robust screen is responsive battery life is good and looks are nice,3,Robust
built ,quality is robust screen is responsive battery life is good and looks are nice,3,quality
built ,quality is robust screen is responsive battery life is good and looks are nice,3,quality
fast, er than other touch response is awsome some app are not in windows as we compare with android but still its all fracture is god camera is good as for ur pics,3,
touch,  response is awsome some app are not in windows as we compare with android but still its all fracture is god camera is good as for ur pics,3,Response
Battery,  is also pretty good browsing experience is also nice,3,good
browsing,  experience is also nice,3,
Battery,  is good too,3,good
Apps,  run so smooth,3,Smooth
fast,  and uses the maximum speed from the network,3,
Apps,  and games are less,1,
games,  are less,1,
windows,  platform also so over all it is good ,3,
smooth , touch &amp,3,
sound,  enhancement,3,Enhancement
games,  are paid,1,Paid
Battery,  Back up issue,1,issue
software,  issues and hardware too,1,
touch,  and looks,3,
windows,  are not that attractive,1,Attractive
budget,  this is the best phone I would suggest and hope that in amber these drawbacks aretaken into consideration and some possible solutions might be chalked out,3,
connectivity,  is big problem,1,
fast,  and fluid,3,
windows,  is still not up to the mark of the ios or even android,1,
windows,  8 phone is just awesome,3,
microsoft, ) VERY nice OPERATING SYSTEM,3,Operating System
windows,  (microsoft) VERY nice OPERATING SYSTEM,3,Operating System
Audio,  also not good,1,
sound,  of Audio also not good,1,Audio
Looks,  are great touch and other basic things are good,3,
touch,  and other basic things are good,3,
